Place_Name,Item,New Name (if needed),Category,Sub1,Sub2,Within_Places,Total_Instances,Latitude,Longitude,Source? (for LatLon),Notes/questions
Chrysion,Constantinople - Chrysion,,infrastructure,Populus,workshop,,1,,,,
Sea Walls,Constantinople - Sea Walls,,infrastructure,Defense,walls,,1,,,,Golden Horn or Propontis?
Antioch (Syria) - The Walls,Antioch (Syria) - The Walls,,infrastructure,Defense,walls,,1,,,,Wall of Justinian? Wall of Tiberius
"Kentenaresios, tower",Chersaion - Kentenaresios,,infrastructure,Defense,tower,,1,,,,
Tomb of Babylas,Antioch (Syria) - Tomb of Babylas,,infrastructure,Imperium,tomb,,1,,,,"this is in Daphne, the suburb of Antioch. I don't have a more specific coordinate yet (here is the coordinate for daphne: https://pleiades.stoa.org/places/658450)"
The Theatre,Alexandria - Theatre,,infrastructure,Populus,theater,,1,,,,
Theater,Constantinople - Theater,,infrastructure,Populus,theater,,1,41.011471,28.98586,,
Terrace of the Magnaura,Terrace of the Magnaura,,infrastructure,Senatus,terrace,,1,,,,
Temple of Aphrodite,Aphaka - Temple of Aphrodite,,infrastructure,Religious Non-Christian,temple,,1,36.6889,27.3733,,
Aigai - Temple of Asklepios,Aigai - Temple of Asklepios,,infrastructure,Religious Non-Christian,temple,,1,37.5983,23.0743,https://pleiades.stoa.org/places/570127?searchterm=temple+of+asklepios,
Constantinople - Hagia Sophia Synthronon,Constantinople - Hagia Sophia Synthronon,Constantinople - Synathronon in Hagia Sofia,infrastructure,Ecclesia,church,within Hagia Sophia,1,,,,
Synagogue,Constantinople - Synagogue,,infrastructure,Religious Non-Christian,synagogue,,1,41.009504,28.978344,https://www.thebyzantinelegacy.com/chalkoprateia,"the text refers to the synagogue as being in ""in the Chalkoprateia"" before Justin destroys it; the byzantine legacy says this church (The Church of Theotokos Chalkoprateia) was built on the site of an old synagogue NK"
Hippodrome (covered),Constantinople - Hippodrome (covered),,infrastructure,Populus,stadium,within Palace,1,41.0059,28.975397,,
Tzoukanisterin,Ephesos - Tzoukanisterin,,infrastructure,Populus,stadium,,1,37.950161,27.37012,"https://www.google.com/maps/place/Ephesus+Stadium/@37.9499408,27.3701628,15z/data=!4m5!3m4!1s0x0:0x22a2a90b5933b9a6!8m2!3d37.9499408!4d27.3701628","I think this should be the correct coordinates, as Tzoukanisterin refers to a stadium, and this is the location of the stadium of ephesos"
"Holy Resurrection, church of",Jerusalem - Holy Resurrection Church,,infrastructure,Ecclesia,church,,1,,,,"this should be combined with ""Jerusalem - Holy Sepulchre Church"""
"Sergius the Martyr, sanctuary of (St. Hormisdas)",Constantinople - Sergius the Martyr (St. Hormisdas),,infrastructure,Ecclesia,shrine,,1,41.002747,28.972227,"https://www.google.com/maps/dir//41.002727,28.972213/@41.0027958,28.9702311,16.65z",
"St. Kallinikos, Shrine",Gangra - St. Kallinikos,,infrastructure,Ecclesia,shrine,,1,,,,
